system   I             system.c:245  al_install_system                [   0.00158] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.69081] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69086] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69091] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69096] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69100] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69105] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69109] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69114] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69118] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69123] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69127] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69133] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69137] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69143] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69147] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69153] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69157] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69163] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69167] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69173] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69177] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69182] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69186] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69192] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69196] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69201] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69205] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69210] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69214] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69220] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69223] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69228] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69232] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69237] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69240] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69245] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69249] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69254] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69262] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69266] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69271] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69275] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69281] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69284] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69290] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69294] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69299] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69303] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69308] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69312] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69317] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69321] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69327] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69331] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69336] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69340] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69345] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69350] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69355] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69366] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69370] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69376] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69380] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69386] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69391] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69396] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69400] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69405] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69410] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69415] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69419] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69425] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69429] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69434] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69438] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69443] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69447] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69453] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69457] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69462] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69467] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69472] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69476] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69481] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69485] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69491] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69495] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69500] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69510] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69529] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69539] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69543] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69549] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69554] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69559] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69563] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69568] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69577] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69582] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69587] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69591] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69596] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.69601] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69607] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.69611] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69617] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69621] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69626] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69630] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69636] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69646] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69650] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69655] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69665] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69670] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69675] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69680] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69686] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69691] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69697] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69706] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69716] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69720] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69725] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69730] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69736] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69740] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69746] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69750] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69755] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69760] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69765] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69775] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69780] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69785] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69790] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69797] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69801] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69806] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69810] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69815] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69819] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69824] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69829] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69835] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69839] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69844] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69848] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69853] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69858] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69863] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69867] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69872] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69876] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69881] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69885] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69890] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69894] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69899] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69903] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69908] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69918] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69921] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69926] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69930] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69935] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69939] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69944] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69948] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69953] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69957] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69962] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69972] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69976] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.69981] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69985] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69989] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.69993] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.69998] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70003] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70008] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70013] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70018] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70023] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70028] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70033] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70038] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70043] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70048] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70058] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70062] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70067] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.70077] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70081] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.70087] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70094] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70104] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70110] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70115] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70129] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70135] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70139] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.70145] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.70149] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
